1410 | 7591.38886  1.83E-22   284.41030 | 7591.38885    3   1 | 7591.36511  1.22E-22   284.40750 | 266   5   5  111010   1  7875.7726   224 | 551   6   6  000000   1   284.4075   284 | 5.2  +0.02655    1.496  9.6E-6  1.8E-5  2.0E-5
1411 | 7591.47927  1.13E-23   264.51666 | 7591.47998   30   2 | 7590.50607  1.31E-23   264.51660 | 254   5   3  210000   1  7855.0226   221 | 515   5   3  000000   0   264.5166   265 | 5.2  +0.97326    0.866  6.9E-6  2.2E-4  2.2E-4
1412 | 7591.64859  1.13E-22   119.23786 | 7591.64876    2   2 | 7591.55900  7.70E-23   119.23840 | 536   2   1  111010   0  7710.7974   110 | 212   3   0  000000   0   119.2384   119 | 2.5  +0.08905    1.464  3.5E-6  2.6E-5  2.6E-5
1413 | 7591.76917  1.42E-23   554.39314 | 7591.76875    8   3 | 7591.33208  9.01E-24   554.39340 | 524   7   3  011212   0  8145.7255   288 | 212   7   0  000000   0   554.3934   554 | 7.5  +0.43683    1.571  7.5E-6  1.8E-4  1.8E-4
1414 | 7591.91162  4.50E-24   712.35327 | 7591.90835  185   2 | 7591.82607  4.63E-24   712.35190 | 233   8   4  111010   0  8304.1780   330 | 551   8   0  000000   1   712.3519   712 | 8.2  +0.08692    0.971  1.1E-5  5.5E-4  5.5E-4
1415 | 7592.02356  1.52E-23   679.28796 | 7592.02316   14   2 | 7592.03995  9.05E-24   679.28700 | 233   8   2  011210   0  8271.3269   323 | 515   8   3  000000   0   679.2870   679 | 8.2  -0.01543    1.682  1.1E-5  1.6E-4  1.6E-4
1416 | 7592.22254  1.23E-23   416.88781 | 7592.22219    8   2 | 7592.21680  1.06E-23   416.88810 | 233   6   2  011212   0  8009.1049   247 | 551   6   0  000000   1   416.8881   417 | 6.2  +0.00545    1.158  7.0E-6  2.0E-4  2.0E-4
1417 | 7592.31263  6.30E-24             |                     |                                  |                                          |                                          |                                 3.9E-4
1418 | 7592.41253  5.29E-24             |                     |                                  |                                          |                                          |                                 4.7E-4
1419 | 7592.90617  2.19E-23   139.35805 | 7592.90630   12   2 | 7592.23428  1.50E-23   139.35670 | 653   4   4  210000   1  7731.5910   338 | 313   4   4  000000   0   139.3567   139 | 4.6  +0.67324    1.461  1.0E-5  1.2E-4  1.2E-4
1420 | 7593.11114  2.32E-24             |                     |                                  |                                          |                                          |                                 1.1E-3
1421 | 7593.21071  1.30E-23   165.33110 | 7593.21050   96   2 | 7592.05697  1.31E-23   165.33070 | 254   4   3  210000   1  7757.3877   160 | 515   4   3  000000   0   165.3307   165 | 4.2  +1.15414    0.991  5.2E-6  1.9E-4  1.9E-4
1422 | 7593.40025  2.37E-24   357.58428 | 7593.39850    8   3 | 7593.39278  1.22E-24   357.58360 | 636   6   5  011212   0  7950.9764   495 | 313   6   4  000000   0   357.5836   358 | 6.6  +0.00815    1.942  8.9E-6  1.0E-3  1.0E-3
1423 | 7593.46231  1.99E-24             |                     |                                  |                                          |                                          |                                 1.2E-3
1424 | 7593.58779  3.86E-24             |                     |                                  |                                          |                                          |                                 6.4E-4
1425 | 7593.70105  3.45E-24             |                     |                                  |                                          |                                          |                                 2.2E-3
1426 | 7593.71649  2.19E-22   165.33110 | 7593.71643    4   2 | 7593.65949  1.51E-22   165.33070 | 233   3   2  111010   0  7758.9902   152 | 515   4   3  000000   0   165.3307   165 | 3.2  +0.05740    1.450  5.2E-6  4.1E-5  4.1E-5
1427 | 7593.98539  6.24E-24   532.89439 | 7593.98557   14   2 | 7593.69361  5.32E-24   532.89160 | 333   8   8  111010   0  8126.5852   634 | 616   8   7  000000   0   532.8916   533 | 8.3  +0.29457    1.173  8.7E-6  3.1E-4  3.1E-4
1428 | 7594.02707  3.53E-23   195.61132 | 7594.02689    2   2 | 7593.97691  2.49E-23   195.61170 | 662   3   0  111010   1  7789.5887   285 | 356   4   1  000000   1   195.6117   196 | 3.6  +0.04978    1.417  2.9E-6  7.1E-5  7.1E-5
1429 | 7594.21033  1.29E-22    60.41302 | 7594.21033    2   1 | 7594.16520  1.01E-22    60.41320 | 266   2   1  011210   1  7654.5784    85 | 551   2   0  000000   1    60.4132    60 | 2.2  +0.04495    1.275  1.2E-6  1.4E-5  1.4E-5
1430 | 7594.34930  3.80E-24             |                     |                                  |                                          |                                          |                                 4.8E-4
1431 | 7594.40474  1.04E-24             |                     |                                  |                                          |                                          |                                 1.8E-3
1432 | 7594.45877  1.85E-24             |                     |                                  |                                          |                                          |                                 9.9E-4
1433 | 7594.61826  2.18E-23             |                     |                                  |                                          |                                          |                                 1.2E-4
1434 | 7594.64178  2.26E-23             |                     |                                  |                                          |                                          |                                 1.1E-4
1435 | 7594.73514  2.71E-23   284.41030 | 7594.73538   38   2 | 7594.65990  2.63E-23   284.40750 | 254   5   3  011212   1  7879.0674   225 | 551   6   6  000000   1   284.4075   284 | 5.2  +0.07804    1.029  9.6E-6  4.0E-4  4.0E-4
1436 | 7594.74454  1.08E-23             |                     |                                  |                                          |                                          |                                 1.0E-3
1437 | 7594.84456  2.02E-24   710.85666 | 7594.84375   19   2 | 7594.72865  1.92E-24   710.85390 | 333   9   8  111010   0  8305.5825   711 | 616   9   7  000000   0   710.8539   711 | 9.3  +0.11867    1.052  1.5E-4  9.1E-4  9.2E-4
